Column A,Column B
48,978515
270,488343
425,999325
479,363313
651,518785
662,88702
675,467399
768,24408
797,707202
872,26141
897,755306
957,635006
967,21979
1006,929669
1015,916178
1067,575637
1152,459614
1257,550106
1260,253764
1387,672036
1436,373102
1496,810301
1650,640046
1659,375065
1741,760126
1849,76429
2066,337760
2069,968331
2105,817387
2135,819950
2155,287189
2266,531185
2270,997659
2376,311305
2432,153907
2457,835781
2587,492826
2793,970486
2802,75635
2818,249501
2900,491217
3095,33083
3098,420547
3190,833898
3588,519588
3732,868392
3735,446686
3781,386547
4423,853750
4582,390471
4644,644060
4654,361324
4806,191551
4879,37263
5039,906980
5058,490248
5075,981119
5293,745062
5356,709181
5373,939000
5374,152555
5598,382115
5601,975034
5613,634463
5632,146483
5855,682216
5872,533889
5935,840865
5977,217780
6309,870014
6350,720708
6383,119990
6466,195270
6545,895702
6623,395195
6661,610182
6738,765515
6839,755207
6886,904087
6978,249286
7018,21017
7064,695750
7068,757398
7076,459724
7101,231345
7150,512108
7329,584478
7562,209370
7578,171324
7613,113700
7784,416204
7805,112701
7968,583308
8081,618327
8120,957458
8134,9301
8194,585001
8239,623151
8510,344722
8672,292906
8820,497541
8908,554477
8963,532903
8994,187830
9002,57033
9040,115194
9098,739846
9169,621070
9290,267861
9519,776316
9537,879041
9550,859996
9768,917919
9965,527876
10033,75949
10035,634647
10048,457115
10172,884682
10387,158170
10466,332512
10501,810333
10512,47380
10585,115025
10691,76295
10917,217504
10952,115948
11042,282944
11113,417321
11144,14645
11145,243711
11325,427320
11528,198892
11649,662555
11702,899421
11759,73827
11855,592745
12228,336008
12432,36346
12475,169006
12761,231944
13005,536608
13067,448681
13074,72516
13100,116690
13154,8775
13228,873740
13232,759612
13486,838062
13557,918292
13603,521494
13633,413023
13714,149775
13873,825561
14027,401026
14052,51113
14214,833322
14374,807825
14445,827469
14464,926290
14484,181918
14606,182849
14663,882569
14786,624238
14790,188340
14977,183329
14985,152663
15420,403661
15486,26676
15571,626725
15723,248538
16097,589742
16691,846241
16830,201587
16899,932423
16915,136715
16935,366582
16953,830536
17122,454968
17126,516334
17398,798183
17414,490970
17496,807195
17500,429763
17567,192935
17681,681938
17695,387160
17699,456567
18127,756748
18160,808260
18269,291336
18303,852348
18504,127941
18580,868
18623,182425
18702,179388
18833,477914
18907,221010
19172,711268
19245,989049
19251,34021
19435,178499
19463,541138
19552,707653
19643,591653
19672,930586
19697,214964
19744,169263
19899,61392
20004,321525
20087,656345
20200,752309
20240,690745
20259,827372
20476,692064
20515,369889
20568,984396
20797,527793
20994,146298
21072,521261
21104,25728
21114,177004
21171,732260
21228,63597
21285,429707
21339,487312
21522,474858
21787,302935
21866,251864
21924,920430
21961,873344
22030,776756
22169,388588
22263,663563
22386,582378
22389,527714
22401,129561
22495,621271
22553,684043
22578,564651
22588,800050
22620,177324
22866,791120
22958,399835
22988,38797
23064,600810
23413,841655
23553,818258
23673,362451
23689,224882
23859,628697
23899,19755
23941,465642
23941,597593
24050,853370
24107,129503
24216,941796
24369,658382
24412,833863
24425,505930
24449,405163
24490,505971
24512,251827
24574,118716
24806,346515
24986,93433
24995,163132
25112,363829
25135,68399
25417,258899
25452,871063
25500,557826
25529,732836
25670,59729
25707,600909
25776,14467
25821,649515
25838,844072
26271,522981
26349,480826
26535,792336
26635,837897
26696,780106
26696,765451
26791,160336
27358,353162
27511,151157
27710,317215
27807,628782
27874,872747
28127,977855
28205,696274
28259,547030
28350,888228
28422,164868
28432,972132
28498,410960
28519,195937
28533,56980
28564,670423
28749,329332
28911,43233
28951,598703
29116,807027
29185,236391
29261,600654
29405,839863
29433,573401
29489,724427
29504,114592
29603,290103
29622,403731
29764,89774
29794,558464
29883,461737
30275,953619
30714,425716
30797,675669
30806,629495
30826,967093
30869,253330
31051,674979
31096,889211
31223,812131
31224,44580
31335,358028
31689,982868
31694,986331
31801,485546
31872,355679
31933,838459
31936,236297
31952,433756
32049,123701
32165,482932
32317,931601
32350,401236
32361,762084
32609,390160
32624,456902
32704,233632
33121,531588
33123,997968
33180,628852
33285,514169
33442,288094
33662,800362
33873,138862
33940,766735
33981,389793
34041,689805
34147,505994
34221,788966
34239,24126
34288,926898
34377,192024
34457,80468
34490,844530
34530,771597
34684,175501
34726,822239
34742,115926
34754,871249
34765,157597
34934,964435
34971,622132
35072,864622
35113,993236
35117,243069
35312,740894
35349,601554
35387,592159
35429,778090
35472,626555
35597,162437
35690,914758
35885,132595
36069,657560
36205,834775
36274,551585
36450,230205
36460,176913
36536,966226
36586,318156
36637,795002
36744,547976
36824,526476
37062,629858
37111,323679
37332,39096
37412,193729
37471,395502
37666,69649
37687,545875
37841,800769
37846,267576
38155,138284
38189,564183
38216,68303
38389,923302
38588,838725
38761,708342
39059,249375
39079,969268
39110,527232
39244,736261
39335,375471
39382,558699
39431,568184
39558,651828
39766,776710
39787,842252
39826,888636
39859,12733
39954,50088
40096,456809
40168,10547
40522,773086
40623,65193
40834,341578
41079,238706
41094,377029
41116,712749
41185,623311
41305,879318
41378,624979
41517,537967
41688,440767
41692,263912
41736,809510
41885,838843
42235,591133
42281,407061
42307,205041
42323,459274
42339,281178
42546,176185
42585,655544
42673,63737
42787,842388
42827,527088
43045,474193
43136,682282
43171,133857
43288,356542
43562,169360
43564,885893
43693,316735
43903,219785
43905,352104
43989,216284
44188,327655
44230,841261
44394,844769
44514,788795
44520,481379
44564,861604
44644,937161
44788,33234
44806,698787
44952,696579
45003,641575
45057,318699
45210,930762
45250,495224
45299,365186
45310,816719
45322,554630
45368,311128
45374,827714
45508,96834
45652,561834
46333,489910
46374,69801
46395,757751
46446,750759
46580,850106
46612,313759
46624,724546
46676,808087
46851,652729
46919,757670
46941,513989
46990,836038
47083,678218
47104,940736
47196,387634
47245,121585
47302,56977
47409,134347
47466,969613
47546,6183
47587,872269
47688,300727
47698,22246
47880,191432
47979,4442
48040,654604
48103,120538
48239,953858
48354,158468
48380,260069
48560,213805
48638,143125
48689,536688
48974,321312
48975,177632
49058,824926
49160,114603
49339,514424
49922,579165
50047,927473
50172,608816
50206,390601
50338,352077
50462,330346
50480,256643
50527,566933
50646,80719
50755,781875
50799,904059
50850,233607
50974,380522
51020,575398
51090,434847
51175,693576
51202,853643
51329,436793
51337,926336
51602,317688
51758,883517
51776,5193
52066,968897
52089,81167
52094,362831
52122,183839
52230,683468
52240,193338
52242,207492
52317,230530
52364,803555
52623,425266
52650,843389
52677,778711
52689,662039
52722,380484
52784,308490
52878,48787
52926,380657
53006,660477
53549,616943
53734,528931
53847,919046
53854,849625
53856,237977
53919,942466
54196,921866
54215,862932
54879,825981
54896,354776
54985,937410
55258,749254
55270,622056
55313,388185
55598,879437
55632,535113
55659,45910
55808,589695
55814,563469
56155,757910
56180,805888
56215,795478
56449,647316
56612,379527
56696,345113
56735,759892
56904,548760
56956,481627
57056,361970
57201,341512
57526,632246
57767,46463
57865,506963
57963,926850
57964,742572
57977,831891
58228,448458
58277,473154
58424,410549
58573,597661
58723,519124
58753,366891
58904,883697
59377,625158
59470,60177
